,Brand,model_name,color,seller,Storage_in_GB,RAM,Screen_Size_inches,Camera,Battery_capactiy,current_price,product_url,img_url
14,Samsung,Samsung Galaxy Z Fold 5,Phantom Black,Amazon,256,12GB,,,4400,"65,450.00",https://www.amazon.eg/-/en/sspa/click?ie=UTF8&spc=MTo0MTAyNjg5MjgzMTgwMTA2OjE3MTMyMzgyOTE6c3BfbXRmX2Jyb3dzZTozMDAxNTM2Njc3MzQ4MzI6OjA6Og&url=%2FSamsung-Galaxy-Android-Smartphone-Phantom%2Fdp%2FB0CC9VZDVS%2Fref%3Dsr_1_15_sspa%3Fdib%3DeyJ2IjoiMSJ9.DUgnSqAGmobQ6tHFYzqJOemqOGGwYOhhJ7ada4AUda7pGL8cRLpwzJMIFVlYq5EqwKPGeplp2xTmM6ZVEJoJjkyASEscR1FMSQzl7hWEzAZ7rcGxriC8fatHnQ4IPuZ3BHqZ7kV62bFBDsilH9vYBlCNoW3S27BwAoy02tc1m2Ki5UlkTFq3PqgJYNdtrOrFDMjdW22cNoMcsSdVPJUowvJ40xkIl_tfsbRZRyKCaoOeaHEQZ6IcsG6JLmBtvlSqakwj5QEzmIzakrHEGAzO4KlFKX8Tgy_8pRANh0Gwcmo.4ADE55Oi_48XCwSHs34JmtGaHGvPgO04Btilhb1eZo4%26dib_tag%3Dse%26qid%3D1713238291%26s%3Delectronics%26sr%3D1-15-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGZfYnJvd3Nl%26psc%3D1,https://m.media-amazon.com/images/I/7102NAlM6FL._AC_SL1500_.jpg
15,SAMSUNG,Samsung Galaxy A05 LTE,Black,Amazon,64,4GB,,,,"4,999.00",https://www.amazon.eg/-/en/Samsung-Galaxy-Android-Smartphone-Storage/dp/B0CP45WBMP,https://m.media-amazon.com/images/I/71dYQdmhwFL._AC_SL1500_.jpg
16,SAMSUNG,Samsung Galaxy A25 5G,Light Blue,Amazon,256,8GB,,,,"10,999.00",https://www.amazon.eg/-/en/Samsung-Galaxy-Android-Smartphone-Storage/dp/B0CQ5BYHWY,https://m.media-amazon.com/images/I/614qsXB-XUL._AC_SL1500_.jpg
17,Samsung,Galaxy-A15,Black,Amazon,256,8GB,,,,"8,985.00",https://www.amazon.eg/-/en/Samsung-Galaxy-Dual-256GGB-Inches/dp/B0CQJZ76X9,https://m.media-amazon.com/images/I/514nSB8S9pL._AC_SL1000_.jpg
18,Samsung,Samsung Galaxy A15,Light Blue,Amazon,128,6GB,,,,"7,325.00",https://www.amazon.eg/-/en/Samsung-Galaxy-Dual-128GB-Inches/dp/B0CQ5CZ346,https://m.media-amazon.com/images/I/61cl1NEIrdL._AC_SL1500_.jpg
19,realme,realme 11 5g,Glory Black,Amazon,8,8GB,,,,"10,180.00",https://www.amazon.eg/-/en/Realme-Dual-SIM-256GB-Glory-Black/dp/B0CGJ3N268,https://m.media-amazon.com/images/I/71VVj2qIIgL._AC_SL1500_.jpg
20,realme,Realme C53,Champion Gold,Amazon,8,GB,,,,"6,999.00",https://www.amazon.eg/-/en/Realme-Dual-SIM-256GB-Champion-Gold/dp/B0CNLRD3SY,https://m.media-amazon.com/images/I/81ZZ+2aDSXL._AC_SL1500_.jpg
21,SAMSUNG,Galaxy-A05,Black,Amazon,128,6GB,,,5000,"5,899.00",https://www.amazon.eg/-/en/Samsung-Galaxy-Android-Smartphone-Storage/dp/B0CR6BZHYC,https://m.media-amazon.com/images/I/61xn0PNMjIL._AC_SL1485_.jpg
22,Samsung,Samsung Galaxy A15,Black,Amazon,128,6GB,,,,50,https://www.amazon.eg/-/en/Samsung-Galaxy-Dual-128GB-Inches/dp/B0CQ5BMBGN,https://m.media-amazon.com/images/I/61isHdQ+TDL._AC_SL1500_.jpg
23,realme,Realme C53,Champion Gold,Amazon,128,6GB,,,,"6,299.00",https://www.amazon.eg/-/en/Realme-Dual-SIM-128GB-Champion-Gold/dp/B0C5XJ2HRM,https://m.media-amazon.com/images/I/71uqxJZTm-L._AC_SL1500_.jpg
24,Xiaomi,MZB0E0IEU,Onyx Gray,Amazon,128,8GB,,,5000,"8,499.00",https://www.amazon.eg/-/en/Xiaomi-Redmi-Note-Dual-128GB/dp/B0BZJ2LLGL,https://m.media-amazon.com/images/I/51W1mldZtDL._AC_SL1500_.jpg
25,Nokia,NOKIA 105_DS_BLACK,Black,Amazon,0.03,,,,,475,https://www.amazon.eg/-/en/NOKIA-105-Dual-SIM-Black/dp/B07WXW8V4X,https://m.media-amazon.com/images/I/61LffJw7v4L._AC_SL1500_.jpg
26,Samsung,Samsung Galaxy A54,Awesome White,Amazon,128,8GB,,,5000,"15,444.00",https://www.amazon.eg/-/en/Samsung-Galaxy-A54-Android-Warranty/dp/B0BXNWHSM7,https://m.media-amazon.com/images/I/51ySQH9NhXL._AC_.jpg
27,Apple,Iphone 15,grey,Amazon,256,,,,,"75,000.00",https://www.amazon.eg/-/en/Apple-iPhone-Pro-Max-256/dp/B0CHXSKYN6,https://m.media-amazon.com/images/I/717trh2j6CL._AC_SL1500_.jpg
28,Xiaomi,Redmi Note 13,Green,Amazon,256,8GB,,,,"10,770.00",https://www.amazon.eg/-/en/Redmi-Note-Green-Storage-screen/dp/B0CQKDDCVK,https://m.media-amazon.com/images/I/51Q+-U8vAVL._AC_SL1200_.jpg
29,SAMSUNG,S23 Ultra,Phantom Black,Amazon,256,,,,,"44,980.00",https://www.amazon.eg/-/en/Samsung-Phantom-Smartphone-Manufacturer-Warranty/dp/B0BSLBMCB2,https://m.media-amazon.com/images/I/71iBKcLHXFL._AC_SL1500_.jpg
30,Generic,1,Black,Amazon,15,,,,,464,https://www.amazon.eg/-/en/sspa/click?ie=UTF8&spc=MToyMjE2OTYwNzA4NTMxMTA2OjE3MTMyMzg3NzQ6c3BfYXRmX2Jyb3dzZTozMDAxNTE4OTAwOTM3MzI6OjA6Og&url=%2FMobile-Phone-105-Black-Single%2Fdp%2FB0CY93TDL8%2Fref%3Dsr_1_25_sspa%3Fdib%3DeyJ2IjoiMSJ9.NibK6Xfjo9g1MColQhQkpRB_eOfI0bQO9cLPsmbOF-XF0qPiYfgYYIatHeBtc1w79J-BF6rm_WIQkTFw-xjQ97VItDcTmnN-KYgnb90hLD0FoT0E8Qt_iiKA0xHogaGV6ct_UJOsaD830p4Awn5eBoFHKIoVppuiF5ZzaWnzTLXN5ASRh1TrUL99oSPg7kDM2fJnVW20YKKAScYlai6HDQvY7sZJtMoULTuRCCQ_pmaxEuH7GJBdzTorgjSilDw_FP7oXdukGTDhlvsy4DS-IBZSkemwPxrYQsp_z4JDZOg.uFPIIppq81VE6yTFFKuIWPerOPY9M-JbdA4nkESi1p8%26dib_tag%3Dse%26qid%3D1713238774%26s%3Delectronics%26sr%3D1-25-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfYnJvd3Nl%26psc%3D1,https://m.media-amazon.com/images/I/513up6tVw5L._AC_SL1500_.jpg
31,Generic,"105 EG Mobile TA-1459 DS Charcoal Black, Dual Sim",Black,Amazon,1.99,SIM,,,,679,https://www.amazon.eg/-/en/sspa/click?ie=UTF8&spc=MToyMjE2OTYwNzA4NTMxMTA2OjE3MTMyMzg3NzQ6c3BfYXRmX2Jyb3dzZTozMDAxMzM1MzYwNTY1MzI6OjA6Og&url=%2FMobile-Phone-TA-1459-Charcoal-Ramadan%2Fdp%2FB0CV3GMYY5%2Fref%3Dsr_1_26_sspa%3Fdib%3DeyJ2IjoiMSJ9.NibK6Xfjo9g1MColQhQkpRB_eOfI0bQO9cLPsmbOF-XF0qPiYfgYYIatHeBtc1w79J-BF6rm_WIQkTFw-xjQ97VItDcTmnN-KYgnb90hLD0FoT0E8Qt_iiKA0xHogaGV6ct_UJOsaD830p4Awn5eBoFHKIoVppuiF5ZzaWnzTLXN5ASRh1TrUL99oSPg7kDM2fJnVW20YKKAScYlai6HDQvY7sZJtMoULTuRCCQ_pmaxEuH7GJBdzTorgjSilDw_FP7oXdukGTDhlvsy4DS-IBZSkemwPxrYQsp_z4JDZOg.uFPIIppq81VE6yTFFKuIWPerOPY9M-JbdA4nkESi1p8%26dib_tag%3Dse%26qid%3D1713238774%26s%3Delectronics%26sr%3D1-26-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfYnJvd3Nl%26psc%3D1,https://m.media-amazon.com/images/I/41ZvwWEkBiL._AC_.jpg
32,Generic,1,White,Amazon,15,,,,,694,https://www.amazon.eg/-/en/sspa/click?ie=UTF8&spc=MToyMjE2OTYwNzA4NTMxMTA2OjE3MTMyMzg3NzQ6c3BfYXRmX2Jyb3dzZTozMDAxNTE4OTAwOTMzMzI6OjA6Og&url=%2FDual-B310-2G-Mobile-Phone-White%2Fdp%2FB0CYDSRKKK%2Fref%3Dsr_1_27_sspa%3Fdib%3DeyJ2IjoiMSJ9.NibK6Xfjo9g1MColQhQkpRB_eOfI0bQO9cLPsmbOF-XF0qPiYfgYYIatHeBtc1w79J-BF6rm_WIQkTFw-xjQ97VItDcTmnN-KYgnb90hLD0FoT0E8Qt_iiKA0xHogaGV6ct_UJOsaD830p4Awn5eBoFHKIoVppuiF5ZzaWnzTLXN5ASRh1TrUL99oSPg7kDM2fJnVW20YKKAScYlai6HDQvY7sZJtMoULTuRCCQ_pmaxEuH7GJBdzTorgjSilDw_FP7oXdukGTDhlvsy4DS-IBZSkemwPxrYQsp_z4JDZOg.uFPIIppq81VE6yTFFKuIWPerOPY9M-JbdA4nkESi1p8%26dib_tag%3Dse%26qid%3D1713238774%26s%3Delectronics%26sr%3D1-27-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfYnJvd3Nl%26psc%3D1,https://m.media-amazon.com/images/I/61j4wLZg8CL._AC_SL1280_.jpg
33,Samsung,Samsung Galaxy S23 FE,Graphite,Amazon,256,8GB,,,,"27,995.00",https://www.amazon.eg/-/en/Samsung-Galaxy-Android-Smartphone-256GB/dp/B0CJXPW2GD,https://m.media-amazon.com/images/I/61-E0V81kBL._AC_SL1500_.jpg
34,OPPO,Oppo Reno 8T,red,Amazon,256,8GB,,,,"11,350.00",https://www.amazon.eg/-/en/OPPO-Reno-Dual-256GB-Inches/dp/B0BVVR3NBM,https://m.media-amazon.com/images/I/61cIST+osWL._AC_SL1390_.jpg
35,OPPO,Oppo Reno 10,light blue,Amazon,256,8GB,,,,"15,950.00",https://www.amazon.eg/-/en/OPPO-Reno10-Dual-256GB-Inches/dp/B0CBKKYDXF,https://m.media-amazon.com/images/I/71F+uT0BRAL._AC_SL1500_.jpg
36,HONOR,Honor Pad,Space Gray,Amazon,128,4GB,,,7250,"8,999.00",https://www.amazon.eg/-/en/Honor-Inches-Space-128GB-Wi-Fi/dp/B0CCY9C8QX,https://m.media-amazon.com/images/I/61+JGgRUWpL._AC_SL1080_.jpg
37,Samsung,Galaxy-A15,Light Blue,Amazon,256,8GB,,,,"9,399.00",https://www.amazon.eg/-/en/Samsung-Galaxy-Dual-256GGB-Inches/dp/B0CQJYYWLH,https://m.media-amazon.com/images/I/51Cida8RecL._AC_SL1000_.jpg
38,Xiaomi,Redmi Note 13,Midnight Black,Amazon,256,8GB,,,,"10,770.00",https://www.amazon.eg/-/en/Redmi-Note-13-256GB-Inches/dp/B0CWRLJYGJ,https://m.media-amazon.com/images/I/51xTkm8N0fL._AC_SL1000_.jpg
39,Samsung,Samsung Galaxy A15,Light Blue,Amazon,128,4GB,,,,"6,750.00",https://www.amazon.eg/-/en/Samsung-Galaxy-Dual-128GB-Inches/dp/B0CQ59K8F9,https://m.media-amazon.com/images/I/61cl1NEIrdL._AC_SL1500_.jpg
40,OPPO,Oppo A78,green,Amazon,256,8GB,,,,"8,500.00",https://www.amazon.eg/-/en/OPPO-A78-256GB-Inches-4G/dp/B0CCRXSWNP,https://m.media-amazon.com/images/I/61tl7PNht9L._AC_SL1200_.jpg
41,Redmi,,Graphite Gray,Amazon,32,3GB,,,,"5,199.00",https://www.amazon.eg/-/en/Redmi-12C-Dual-SIM-32GB/dp/B0CG5W46NH,https://m.media-amazon.com/images/I/61Pjk+wUoeL._AC_SL1500_.jpg
42,realme,Realme C55,Black,Amazon,8,8GB,,,,"7,399.00",https://www.amazon.eg/-/en/Realme-256GB-Rainy-Night-Black/dp/B0BXQ2HNDC,https://m.media-amazon.com/images/I/71z0GCE5GsL._AC_SL1500_.jpg
43,Xiaomi,Redmi 13C,Midnight Black,Amazon,256,8GB,,,18,"7,199.00",https://www.amazon.eg/-/en/Xiaomi-Redmi-13C-256GB-Inches/dp/B0CT3N5CFC,https://m.media-amazon.com/images/I/51z+jOOKlJL._AC_SL1000_.jpg
44,egyptian saudi insurance house,1 Year Extended Warranty Plan,red,Amazon,,,,,,54,https://www.amazon.eg/-/en/Extended-Warranty-Audio-Video-products-EGP999-99/dp/B09TTPFCLW,https://m.media-amazon.com/images/I/61wDIlo+8+L._AC_SL1500_.jpg
45,Generic,Nokia 110 Dual SIM Mobile,Black,Amazon,,(&&,,,,553,https://www.amazon.eg/-/en/sspa/click?ie=UTF8&spc=MToyMjE2OTYwNzA4NTMxMTA2OjE3MTMyMzg3NzQ6c3BfbXRmX2Jyb3dzZTozMDAxMDc3NjEzMzY5MzI6OjA6Og&url=%2FMobile-Phone-Black-Ramadan-Kareem%2Fdp%2FB0CQ3PG5WJ%2Fref%3Dsr_1_40_sspa%3Fdib%3DeyJ2IjoiMSJ9.NibK6Xfjo9g1MColQhQkpRB_eOfI0bQO9cLPsmbOF-XF0qPiYfgYYIatHeBtc1w79J-BF6rm_WIQkTFw-xjQ97VItDcTmnN-KYgnb90hLD0FoT0E8Qt_iiKA0xHogaGV6ct_UJOsaD830p4Awn5eBoFHKIoVppuiF5ZzaWnzTLXN5ASRh1TrUL99oSPg7kDM2fJnVW20YKKAScYlai6HDQvY7sZJtMoULTuRCCQ_pmaxEuH7GJBdzTorgjSilDw_FP7oXdukGTDhlvsy4DS-IBZSkemwPxrYQsp_z4JDZOg.uFPIIppq81VE6yTFFKuIWPerOPY9M-JbdA4nkESi1p8%26dib_tag%3Dse%26qid%3D1713238774%26s%3Delectronics%26sr%3D1-40-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGZfYnJvd3Nl%26psc%3D1,https://m.media-amazon.com/images/I/41g7zULUMlL._AC_.jpg
46,Generic,105,Black,Amazon,1,,,,,535,https://www.amazon.eg/-/en/sspa/click?ie=UTF8&spc=MToyMjE2OTYwNzA4NTMxMTA2OjE3MTMyMzg3NzQ6c3BfbXRmX2Jyb3dzZTozMDAxMzI1NTIzMTQ3MzI6OjA6Og&url=%2FMobile-105-Phone-105-Black-Dual-SIM%2Fdp%2FB0CV9TRH4W%2Fref%3Dsr_1_41_sspa%3Fdib%3DeyJ2IjoiMSJ9.NibK6Xfjo9g1MColQhQkpRB_eOfI0bQO9cLPsmbOF-XF0qPiYfgYYIatHeBtc1w79J-BF6rm_WIQkTFw-xjQ97VItDcTmnN-KYgnb90hLD0FoT0E8Qt_iiKA0xHogaGV6ct_UJOsaD830p4Awn5eBoFHKIoVppuiF5ZzaWnzTLXN5ASRh1TrUL99oSPg7kDM2fJnVW20YKKAScYlai6HDQvY7sZJtMoULTuRCCQ_pmaxEuH7GJBdzTorgjSilDw_FP7oXdukGTDhlvsy4DS-IBZSkemwPxrYQsp_z4JDZOg.uFPIIppq81VE6yTFFKuIWPerOPY9M-JbdA4nkESi1p8%26dib_tag%3Dse%26qid%3D1713238774%26s%3Delectronics%26sr%3D1-41-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGZfYnJvd3Nl%26psc%3D1,https://m.media-amazon.com/images/I/61XT0TmtFJL._AC_SL1500_.jpg
47,Samsung,Samsung Galaxy Z Fold 5,Phantom Black,Amazon,256,12GB,,,4400,"65,450.00",https://www.amazon.eg/-/en/sspa/click?ie=UTF8&spc=MToyMjE2OTYwNzA4NTMxMTA2OjE3MTMyMzg3NzQ6c3BfbXRmX2Jyb3dzZTozMDAxNTM2Njc3MzQ4MzI6OjA6Og&url=%2FSamsung-Galaxy-Android-Smartphone-Phantom%2Fdp%2FB0CC9VZDVS%2Fref%3Dsr_1_42_sspa%3Fdib%3DeyJ2IjoiMSJ9.NibK6Xfjo9g1MColQhQkpRB_eOfI0bQO9cLPsmbOF-XF0qPiYfgYYIatHeBtc1w79J-BF6rm_WIQkTFw-xjQ97VItDcTmnN-KYgnb90hLD0FoT0E8Qt_iiKA0xHogaGV6ct_UJOsaD830p4Awn5eBoFHKIoVppuiF5ZzaWnzTLXN5ASRh1TrUL99oSPg7kDM2fJnVW20YKKAScYlai6HDQvY7sZJtMoULTuRCCQ_pmaxEuH7GJBdzTorgjSilDw_FP7oXdukGTDhlvsy4DS-IBZSkemwPxrYQsp_z4JDZOg.uFPIIppq81VE6yTFFKuIWPerOPY9M-JbdA4nkESi1p8%26dib_tag%3Dse%26qid%3D1713238774%26s%3Delectronics%26sr%3D1-42-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGZfYnJvd3Nl%26psc%3D1,https://m.media-amazon.com/images/I/7102NAlM6FL._AC_SL1500_.jpg
48,Redmi,Redmi 12 - Midnight Black,Sky Blue,Amazon,256,8GB,,,5000,"7,599.00",https://www.amazon.eg/-/en/Redmi-12-256GB-6-79-Inches/dp/B0CVND8111,https://m.media-amazon.com/images/I/5130q70SzrL._AC_SL1000_.jpg
49,realme,realme 12 pro+,Submarine Blue,Amazon,12,12GB,,,,250,https://www.amazon.eg/-/en/realme-Pro-Dual-12GB-512GB/dp/B0CTZW624P,https://m.media-amazon.com/images/I/81GvcYAFKbL._AC_SL1500_.jpg
50,SAMSUNG,Samsung Galaxy A25 5G,Black,Amazon,128,6GB,,,,"9,999.00",https://www.amazon.eg/-/en/Samsung-Galaxy-Android-Smartphone-Storage/dp/B0CQ5CQG31,https://m.media-amazon.com/images/I/61n8R-QRkUL._AC_SL1500_.jpg
51,realme,Realme C51,Carbon Black,Amazon,4,4GB,,,,"5,598.00",https://www.amazon.eg/-/en/Realme-Supper-Charger-Dynamic-Inches/dp/B0CHZ29FRV,https://m.media-amazon.com/images/I/51XS4DYEgQL._AC_SL1500_.jpg
52,OPPO,A58,black,Amazon,128,6GB,,,33,"6,850.00",https://www.amazon.eg/-/en/Oppo-A58-Dual-128GB-Black/dp/B0CDBP5HFB,https://m.media-amazon.com/images/I/81gpCfWufkL._AC_SL1500_.jpg
53,Egyptian Saudi Insurance House,1 Year Extended Warranty Plan,red,Amazon,,,,,,27,https://www.amazon.eg/-/en/Extended-Household-Appliance-Equipment-EGP499-99/dp/B09TTLKL6C,https://m.media-amazon.com/images/I/61eiunz3JaL._AC_SL1500_.jpg
54,Nokia,Nokia C10,Grey,Amazon,32,2gb,,,3000,"3,725.00",https://www.amazon.eg/-/en/Nokia-c10-dual-sim-32gb/dp/B0C1ZNGYJQ,https://m.media-amazon.com/images/I/71nZAbL5+BL._AC_SL1500_.jpg
55,realme,Realme C 55,Sunshower,Amazon,8,,,,,"7,399.00",https://www.amazon.eg/-/en/Realme-55-8G-256G-Sunshower/dp/B0BZWNNRSD,https://m.media-amazon.com/images/I/81tZSD6b3UL._AC_SL1500_.jpg
56,,,Cool Black,Amazon,,8GB,,,,12,https://www.amazon.eg/-/en/OPPO-Smartphone-Version-Fingerprint-Recognition/dp/B0C5N2V1C3,https://m.media-amazon.com/images/I/71JwRA-AUfL._AC_SL1500_.jpg
57,Xiaomi,Redmi 12 - Sky Blue,Sky Blue,Amazon,256,8GB,,,22,"7,680.00",https://www.amazon.eg/-/en/Redmi-Hybrid-Dual-256GB-Inches/dp/B0C9LTLSN2,https://m.media-amazon.com/images/I/51Pm+LJGR3L._AC_SL1000_.jpg
58,SAMSUNG,Galaxy S24 Ultra,Titanium Violet,Amazon,512,12GB,,,,"77,000.00",https://www.amazon.eg/-/en/SAMSUNG-Android-Smartphone-Storage-Battery/dp/B0CQZ1JYNY,https://m.media-amazon.com/images/I/71DMZEvfSVL._AC_SL1500_.jpg
59,OPPO,A38,black,Amazon,128,4GB,,,33,"6,390.00",https://www.amazon.eg/-/en/OPPO-SUPERVOOC-Waterdrop-Additional-Exchange/dp/B0CHDW6N8J,https://m.media-amazon.com/images/I/810mPWLr-SL._AC_SL1500_.jpg
60,Generic,1,Black,Amazon,15,,,,,464,https://www.amazon.eg/-/en/sspa/click?ie=UTF8&spc=MTo0MzI1MDA1MzYxMDAxMTA2OjE3MTMyMzkyMzQ6c3BfYXRmX2Jyb3dzZTozMDAxNTE4OTAwOTM3MzI6OjA6Og&url=%2FMobile-Phone-105-Black-Single%2Fdp%2FB0CY93TDL8%2Fref%3Dsr_1_49_sspa%3Fdib%3DeyJ2IjoiMSJ9.N9HfeN986yi177-03Tt9fZC579e0YYmjCznvtaBgIantz9NVnEXJ3vFhaAFcl-7ZL657l2DmFBZj56Lrv3ygu_62Zg8TxNiWcRnPeMPGsk4.DzaI4spm56_RcQ8ECI60KjSrJcikkCX-xzWR4f5LDgU%26dib_tag%3Dse%26qid%3D1713239234%26s%3Delectronics%26sr%3D1-49-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfYnJvd3Nl%26psc%3D1,https://m.media-amazon.com/images/I/513up6tVw5L._AC_SL1500_.jpg
61,Generic,"105 EG Mobile TA-1459 DS Charcoal Black, Dual Sim",Black,Amazon,1.99,SIM,,,,679,https://www.amazon.eg/-/en/sspa/click?ie=UTF8&spc=MTo0MzI1MDA1MzYxMDAxMTA2OjE3MTMyMzkyMzQ6c3BfYXRmX2Jyb3dzZTozMDAxMzM1MzYwNTY1MzI6OjA6Og&url=%2FMobile-Phone-TA-1459-Charcoal-Ramadan%2Fdp%2FB0CV3GMYY5%2Fref%3Dsr_1_50_sspa%3Fdib%3DeyJ2IjoiMSJ9.N9HfeN986yi177-03Tt9fZC579e0YYmjCznvtaBgIantz9NVnEXJ3vFhaAFcl-7ZL657l2DmFBZj56Lrv3ygu_62Zg8TxNiWcRnPeMPGsk4.DzaI4spm56_RcQ8ECI60KjSrJcikkCX-xzWR4f5LDgU%26dib_tag%3Dse%26qid%3D1713239234%26s%3Delectronics%26sr%3D1-50-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfYnJvd3Nl%26psc%3D1,https://m.media-amazon.com/images/I/41ZvwWEkBiL._AC_.jpg
62,Generic,1,White,Amazon,15,,,,,694,https://www.amazon.eg/-/en/sspa/click?ie=UTF8&spc=MTo0MzI1MDA1MzYxMDAxMTA2OjE3MTMyMzkyMzQ6c3BfYXRmX2Jyb3dzZTozMDAxNTE4OTAwOTMzMzI6OjA6Og&url=%2FDual-B310-2G-Mobile-Phone-White%2Fdp%2FB0CYDSRKKK%2Fref%3Dsr_1_51_sspa%3Fdib%3DeyJ2IjoiMSJ9.N9HfeN986yi177-03Tt9fZC579e0YYmjCznvtaBgIantz9NVnEXJ3vFhaAFcl-7ZL657l2DmFBZj56Lrv3ygu_62Zg8TxNiWcRnPeMPGsk4.DzaI4spm56_RcQ8ECI60KjSrJcikkCX-xzWR4f5LDgU%26dib_tag%3Dse%26qid%3D1713239234%26s%3Delectronics%26sr%3D1-51-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfYnJvd3Nl%26psc%3D1,https://m.media-amazon.com/images/I/61j4wLZg8CL._AC_SL1280_.jpg
63,HONOR,Honor 90,Midnight Black,Amazon,12,,,,,"24,399.00",https://www.amazon.eg/-/en/HONOR-90-Smartphone-SuperCharge-Midnight/dp/B0CB4L248T,https://m.media-amazon.com/images/I/71uWVsDVdfL._AC_SL1500_.jpg
64,realme,realme 12 Pro,Submarine Blue,Amazon,128,Dynamic,,,5000,"17,810.00",https://www.amazon.eg/-/en/realme-Submarine-Flagship-Telephoto-Snapdragon/dp/B0CTK9M2M2,https://m.media-amazon.com/images/I/81QvAGRjTAL._AC_SL1500_.jpg
65,egyptian saudi insurance house,1 Year Extended Warranty Plan,red,Amazon,,,,,,54,https://www.amazon.eg/-/en/Extended-Household-Appliance-Equipment-EGP999-99/dp/B09TTMTS5S,https://m.media-amazon.com/images/I/61sGcnnqZQL._AC_SL1500_.jpg
66,SAMSUNG,Galaxy-A24,BLACK,Amazon,128,6GB,,,,29,https://www.amazon.eg/-/en/Samsung-Galaxy-Android-Smartphone-Storage/dp/B0C3GZLLZC,https://m.media-amazon.com/images/I/71Qw85xhy+L._AC_SL1500_.jpg
67,realme,realme 12 pro+,Navigator Beige,Amazon,12,12GB,,,,"21,659.00",https://www.amazon.eg/-/en/realme-Pro-Dual-12GB-512GB/dp/B0CTZW6XGC,https://m.media-amazon.com/images/I/819TByLAOZL._AC_SL1500_.jpg
68,egyptian saudi insurance house,1 Year Extended Warranty Plan,red,Amazon,,,,,,27,https://www.amazon.eg/-/en/Extended-Warranty-Audio-Video-products-EGP499-99/dp/B09TTNR2VW,https://m.media-amazon.com/images/I/61sGcnnqZQL._AC_SL1500_.jpg
69,OPPO,Oppo Reno 8T,red,Amazon,256,8GB,,,,60,https://www.amazon.eg/-/en/OPPO-Smartphone-Fingerprint-Recognition-Bluetooth/dp/B0BVVP8711,https://m.media-amazon.com/images/I/61elxy1AgFL._AC_SL1390_.jpg
70,Apple,iPhone 14,Starlight,Amazon,128,,,,,"36,929.00",https://www.amazon.eg/-/en/Apple-iPhone-128-Starlight-Bluetooth/dp/B0BDHWM4VX,https://m.media-amazon.com/images/I/51FQoP3cCGL._AC_SL1500_.jpg
71,Samsung,Samsung Galaxy A34,Awesome Silver,Amazon,8,8GB,,,,"13,990.00",https://www.amazon.eg/-/en/Galaxy-Dual-Awesome-Silver-256GB/dp/B0CTGHG8Q3,https://m.media-amazon.com/images/I/31sAgsqo2cL._AC_.jpg
72,realme,9 Pro - Green,Grren,Amazon,128,8GB,,,5000,"8,550.00",https://www.amazon.eg/-/en/Realme-Pro-Dual-Smartphone-128GB/dp/B0CN6ZHVTG,https://m.media-amazon.com/images/I/61EjSPXLvNL._AC_SL1000_.jpg
73,realme,Realme C67,Sunny Oasis,Amazon,256,8GB,,,,"7,997.00",https://www.amazon.eg/-/en/realme-Dual-SIM-Factory-Unlocked-Smartphone/dp/B0CQRCWH7P,https://m.media-amazon.com/images/I/715bzjyJkYL._AC_SL1500_.jpg
74,,,,Amazon,,8GB,,,,"13,666.00",https://www.amazon.eg/-/en/Samsung-Galaxy-Dual-128GB-Inches/dp/B0BXNY4YD3,https://m.media-amazon.com/images/I/71RqyKk2eBL._AC_SL1500_.jpg
